,precision,recall,f1-score,support,value
glioma,0.987220447284345,0.9537037037037037,0.9701726844583988,324.0,
pituitary,0.9365558912386707,0.9422492401215805,0.9393939393939394,329.0,
meningioma,0.9776674937965261,0.985,0.9813200498132005,400.0,
notumor,0.9720670391061452,0.9886363636363636,0.9802816901408451,352.0,
accuracy,,,,,0.9686832740213523
macro avg,0.9683777178564217,0.967397326865412,0.9677920909515959,1405.0,
weighted avg,0.968840504214679,0.9686832740213523,0.968671694434153,1405.0,
