,precision,recall,f1-score,support,value
glioma,0.9936908517350158,0.9722222222222222,0.982839313572543,324.0,
pituitary,0.972809667673716,0.9787234042553191,0.9757575757575757,329.0,
meningioma,0.9974747474747475,0.9875,0.992462311557789,400.0,
notumor,0.9750692520775623,1.0,0.9873772791023843,352.0,
accuracy,,,,,0.9850533807829182
macro avg,0.9847611297402604,0.9846114066193854,0.984609119997573,1405.0,
weighted avg,0.9852131618135224,0.9850533807829182,0.985057584974307,1405.0,
