,precision,recall,f1-score,support,value
glioma,0.9936908517350158,0.9722222222222222,0.982839313572543,324.0,
pituitary,0.9667673716012085,0.9726443768996961,0.9696969696969697,329.0,
meningioma,0.9974683544303797,0.985,0.9911949685534591,400.0,
notumor,0.9723756906077348,1.0,0.9859943977591037,352.0,
accuracy,,,,,0.9829181494661922
macro avg,0.9825755670935847,0.9824666497804796,0.9824314123955189,1405.0,
weighted avg,0.9831216271067738,0.9829181494661922,0.9829311431034842,1405.0,
