,precision,recall,f1-score,support,value
glioma,0.984375,0.9722222222222222,0.9782608695652174,324.0,
pituitary,0.9661538461538461,0.9544072948328267,0.9602446483180428,329.0,
meningioma,0.9851116625310173,0.9925,0.9887920298879203,400.0,
notumor,0.9747899159663865,0.9886363636363636,0.9816643159379408,352.0,
accuracy,,,,,0.9779359430604982
macro avg,0.9776076061628125,0.9769414701728532,0.9772404659272804,1405.0,
weighted avg,0.9779166055638364,0.9779359430604982,0.9778929980078932,1405.0,
